Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-May-2020,440.40,442.00,425.00,428.40,431.983872488091245284,912354,18718,394122214.00,197488,21.65,17.00,-12.00
13-May-2020,479.80,479.80,444.40,448.40,459.505186989004416390,936285,22027,430227814.00,154656,16.52,35.40,-31.40
12-May-2020,430.00,449.90,425.00,446.25,437.300124553911694454,1667551,30272,729220260.00,101988,6.12,24.90,16.25
11-May-2020,451.00,458.50,429.00,433.40,441.323752384425493716,1140736,22351,503433892.00,115896,10.16,29.50,-17.60
8-May-2020,463.95,478.00,435.55,440.20,462.816476580912596757,1620409,30959,749951984.00,157563,9.72,42.45,-23.75
7-May-2020,422.50,461.30,414.00,453.65,442.813036404605745169,1590101,28968,704117452.00,149531,9.40,47.30,31.15
6-May-2020,420.95,429.00,408.80,425.65,421.116450639855382134,1118534,19576,471033068.00,53657,4.80,20.20,4.70
5-May-2020,432.00,438.75,416.10,418.95,429.263322803197512428,1008534,20780,432926656.00,84771,8.41,22.65,-13.05
4-May-2020,437.20,443.90,415.50,423.15,425.821440721102320715,1172871,23731,499433619.00,269613,22.99,28.40,-14.05
30-April-2020,485.30,492.00,461.95,468.00,479.274217606975898960,1400479,29344,671213477.00,200492,14.32,30.05,-17.30
29-April-2020,454.05,489.00,443.30,470.60,468.485453800065443795,2127016,45075,996476056.00,180485,8.49,45.70,16.55
28-April-2020,448.05,480.90,430.00,468.90,449.304762446515812488,3058848,54957,1374354974.00,481880,15.75,50.90,20.85
27-April-2020,395.15,410.55,387.05,407.35,400.425421175986540001,1361070,27652,545007028.00,207845,15.27,23.50,12.20
24-April-2020,394.80,400.00,380.00,383.10,389.238587162741141497,1193853,28905,464693655.00,302094,25.30,20.00,-11.70
23-April-2020,422.00,427.45,407.10,410.10,417.106013472018321279,1442694,24631,601756343.00,136730,9.48,20.35,-11.90
22-April-2020,399.40,420.00,385.00,415.60,404.047781878358614511,1549374,34228,626021128.00,149199,9.63,35.00,16.20
21-April-2020,434.00,435.00,395.60,400.80,409.739966455220363221,1739764,41250,712850843.00,414648,23.83,39.40,-33.20
20-April-2020,478.75,481.00,453.20,457.00,464.970746329300603733,1063217,24854,494364802.00,184995,17.40,27.80,-21.75
17-April-2020,466.40,478.50,443.65,474.70,459.932690251580899211,1650801,39457,759257345.00,259013,15.69,34.85,8.30
16-April-2020,424.10,441.80,413.25,435.00,431.055140843929699522,1543375,36528,665279728.00,309658,20.06,28.55,10.90
15-April-2020,423.00,444.95,403.30,424.10,429.668164663333150034,1582113,33335,679783589.00,224357,14.18,41.65,1.10
13-April-2020,390.00,421.80,372.00,410.30,400.446707010958682071,1801494,41702,721402340.00,175856,9.76,49.80,20.30
9-April-2020,431.00,431.00,384.25,395.45,399.677474138656051133,1783550,46171,712844759.00,253489,14.21,46.75,-35.55
8-April-2020,385.90,441.65,362.20,398.75,398.783647439884091120,3214249,86376,1281789940.00,351553,10.94,79.45,12.85
7-April-2020,344.55,391.55,344.55,384.05,369.108565298176207421,1999405,44412,737997511.00,546808,27.35,47.00,39.50
3-April-2020,350.80,350.80,310.40,313.25,319.874939874198322644,1297280,31879,414967362.00,226434,17.45,40.40,-37.55
1-April-2020,386.25,390.00,320.00,342.30,351.753183708929217589,2454056,55599,863222011.00,252094,10.27,70.00,-43.95
31-March-2020,411.55,411.55,329.25,351.15,351.903726938725794972,2356277,45597,829182658.00,510115,21.65,82.30,-60.40
30-March-2020,369.90,427.50,369.90,411.55,406.034410883602720900,1391304,34664,564917300.00,145526,10.46,57.60,41.65
27-March-2020,480.60,542.30,393.30,411.00,450.593827621365775859,2970751,81518,1338602064.00,443450,14.93,149.00,-69.60
26-March-2020,318.80,451.80,313.25,436.95,414.748066766747380530,2679837,53788,1111457215.00,483647,18.05,138.55,118.15
25-March-2020,294.00,324.00,281.15,301.20,300.416295472838621508,1698349,38900,510211715.00,302141,17.79,42.85,7.20
24-March-2020,361.00,361.00,235.60,312.35,312.678197123695318061,1856966,55509,580632781.00,207115,11.15,125.40,-48.65
23-March-2020,396.00,409.90,330.00,336.55,352.197964277545254997,498398,20195,175534761.00,186983,37.52,79.90,-59.45
20-March-2020,453.00,479.25,405.00,439.95,432.844033794880628145,1172722,37115,507605721.00,74949,6.39,74.25,-13.05
19-March-2020,420.00,472.35,391.25,443.85,436.031441870970246434,1416805,49899,617771527.00,85942,6.07,81.10,23.85
18-March-2020,625.60,637.70,382.55,459.85,482.906862980282444864,3209830,89026,1550048936.00,308948,9.62,255.15,-165.75
17-March-2020,664.00,705.80,590.60,604.30,647.069175140498685579,1032394,28083,668030334.00,93143,9.02,115.20,-59.70
16-March-2020,750.00,758.20,655.00,663.30,687.893608730963725295,821261,22635,564940193.00,105843,12.89,103.20,-86.70
13-March-2020,725.00,834.90,550.05,804.00,723.126564700946063397,1000990,27449,723842460.00,102119,10.20,284.85,79.00
12-March-2020,771.00,831.50,768.30,782.25,805.022019250967677849,614099,20264,494363217.00,104902,17.08,63.20,11.25
11-March-2020,899.00,928.75,844.40,853.65,882.925157891181735283,532962,19554,470565558.00,97555,18.30,84.35,-45.35
9-March-2020,970.00,971.85,886.85,906.20,932.898837254735216311,435091,15398,405895888.00,67595,15.54,85.00,-63.80
6-March-2020,1008.00,1031.25,921.25,1014.30,989.115004305546804444,952260,18179,941894654.00,574140,60.29,110.00,6.30
5-March-2020,1078.90,1094.40,1063.10,1074.70,1076.733342288617009618,282887,8150,304593865.00,33845,11.96,31.30,-4.20
4-March-2020,1102.00,1114.00,1051.00,1066.25,1070.577274725843161597,154656,6303,165571199.00,27306,17.66,63.00,-35.75
3-March-2020,1083.00,1118.00,1073.00,1109.00,1093.778217536517034964,263781,6324,288517912.00,19354,7.34,45.00,26.00
2-March-2020,1130.00,1135.10,1070.05,1079.95,1111.830074851313653810,339473,10405,377436291.00,170700,50.28,65.05,-50.05
28-February-2020,1108.00,1117.50,1085.40,1104.00,1103.797558738338922023,262733,8493,290004044.00,71249,27.12,32.10,-4.00
27-February-2020,1142.00,1142.00,1102.20,1115.60,1113.546051965503594142,217298,7495,241971330.00,79035,36.37,39.80,-26.40
26-February-2020,1153.00,1153.00,1125.60,1135.05,1136.242963543708349666,140305,5656,159420569.00,20967,14.94,27.40,-17.95
25-February-2020,1182.95,1182.95,1138.90,1153.90,1161.958186566257743228,131728,5039,153062428.00,16874,12.81,44.05,-29.05
24-February-2020,1174.00,1189.50,1149.75,1170.55,1174.795057393205572027,120746,5518,141851804.00,12085,10.01,39.75,-3.45
20-February-2020,1149.00,1203.65,1146.20,1181.75,1183.409399594673563018,402145,15006,475902173.00,81998,20.39,57.45,32.75
19-February-2020,1162.00,1167.30,1116.45,1141.00,1139.057858132201691568,339330,12583,386516503.00,38757,11.42,50.85,-21.00
18-February-2020,1174.00,1174.05,1109.20,1144.15,1142.950599485870050933,3710346,14499,4240742185.00,3423359,92.27,64.85,-29.85
17-February-2020,1172.00,1209.00,1165.05,1172.75,1184.687856086701864040,244147,10293,289237986.00,39661,16.24,43.95,0.75
14-February-2020,1230.00,1246.55,1171.55,1176.35,1201.527280248913334809,343252,14375,412426642.00,82485,24.03,75.00,-53.65
13-February-2020,1282.95,1282.95,1225.35,1230.20,1240.823553536332695964,187751,7714,232965863.00,64819,34.52,57.60,-52.75
12-February-2020,1259.05,1303.50,1252.50,1277.20,1279.425665568132970339,174475,7035,223227793.00,17956,10.29,51.00,18.15
11-February-2020,1292.00,1309.50,1285.30,1292.20,1296.640292740046838407,85400,3412,110733081.00,11344,13.28,24.20,0.20
10-February-2020,1304.90,1304.90,1269.00,1275.45,1277.832506293746998646,68719,3193,87811372.00,10578,15.39,35.90,-29.45
7-February-2020,1343.00,1345.95,1293.75,1298.70,1312.128246450795543466,107348,5363,140854343.00,20298,18.91,52.20,-44.30
6-February-2020,1272.00,1340.00,1263.10,1334.55,1311.269008124364303024,238911,9132,313276590.00,34434,14.41,76.90,62.55
5-February-2020,1289.70,1289.70,1266.00,1272.80,1276.979269588778715999,85623,3180,109338796.00,14166,16.54,23.70,-16.90
4-February-2020,1268.70,1284.00,1256.75,1272.45,1272.384011420413990007,135897,6791,172913170.00,26194,19.27,27.25,3.75
3-February-2020,1220.20,1267.80,1218.35,1262.90,1248.067277400900639724,206964,8598,258304996.00,61089,29.52,49.45,42.70
1-February-2020,1250.00,1263.45,1195.95,1210.90,1239.895542248835662009,123246,7363,152812166.00,45707,37.09,67.50,-39.10
31-January-2020,1247.00,1271.50,1240.30,1258.90,1259.983042587362241789,180570,7569,227515138.00,22623,12.53,31.20,11.90
30-January-2020,1251.00,1253.75,1221.05,1231.40,1240.199632432099904647,130044,5385,161280521.00,37540,28.87,32.70,-19.60
29-January-2020,1273.60,1276.60,1251.10,1258.25,1264.373222839477832361,130686,6512,165235879.00,31888,24.40,25.50,-15.35
28-January-2020,1284.65,1284.90,1240.75,1255.15,1266.729077415930545551,211016,9275,267300103.00,47053,22.30,44.15,-29.50
27-January-2020,1319.00,1319.00,1265.60,1271.60,1291.166577304678469007,203293,9850,262485127.00,52208,25.68,53.40,-47.40
24-January-2020,1330.30,1345.00,1309.00,1316.00,1328.576600127474435833,108257,5721,143827717.00,25296,23.37,36.00,-14.30
23-January-2020,1330.50,1340.00,1320.35,1332.15,1330.308665034103958272,144558,6250,192306760.00,26164,18.10,19.65,1.65
22-January-2020,1348.00,1348.70,1323.00,1327.60,1334.025218234723569350,81449,4470,108655020.00,13340,16.38,25.70,-20.40
21-January-2020,1330.00,1350.25,1321.00,1336.80,1338.453665805816470334,148303,6552,198496694.00,19837,13.38,29.25,6.80
20-January-2020,1365.20,1368.90,1322.45,1332.05,1340.733694402155460390,182606,7200,244826017.00,29408,16.10,46.45,-33.15
17-January-2020,1356.00,1376.50,1317.40,1352.55,1353.756924291567087743,374912,16250,507539716.00,56420,15.05,59.10,-3.45
16-January-2020,1409.00,1414.35,1377.75,1386.70,1391.739412989521404691,325139,15413,452508761.00,52454,16.13,36.60,-22.30
15-January-2020,1469.00,1469.00,1391.10,1400.60,1418.453609465498051651,423179,21262,600259780.00,106863,25.25,77.90,-68.40
14-January-2020,1545.00,1586.55,1470.60,1481.10,1532.604714399188379354,508612,21321,779501149.00,61241,12.04,115.95,-63.90
13-January-2020,1507.80,1546.90,1487.40,1540.45,1513.006718568540582390,116245,5142,175879466.00,21612,18.59,59.50,32.65
10-January-2020,1514.90,1521.00,1485.00,1490.60,1500.319299137610731955,102274,4211,153443656.00,20577,20.12,36.00,-24.30
9-January-2020,1497.85,1516.00,1483.65,1507.35,1502.451628728414442700,91728,4314,137816883.00,16263,17.73,32.35,9.50
8-January-2020,1441.00,1480.75,1439.40,1458.80,1458.787548886772023453,169013,6519,246554060.00,52447,31.03,41.35,17.80
