Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-October-2020,3400.00,3458.65,3317.60,3444.05,3406.430682324531773296,139142,13704,473977578.00,31892,22.92,141.05,44.05
30-September-2020,3300.00,3343.65,3259.90,3277.25,3296.299180103254376253,182462,8402,601449341.00,86687,47.51,83.75,-22.75
29-September-2020,3359.45,3372.25,3254.30,3293.10,3296.806923771933995910,210290,20539,693285528.00,28141,13.38,117.95,-66.35
28-September-2020,3195.00,3349.00,3165.25,3335.75,3295.886065484468427360,156037,13332,514280174.00,15786,10.12,183.75,140.75
25-September-2020,3089.50,3164.75,3031.50,3138.25,3101.747879930004038228,148580,13060,460857700.00,16596,11.17,133.25,48.75
24-September-2020,3205.00,3205.00,3008.85,3027.90,3095.990109460273309201,161063,15668,498649455.00,35219,21.87,196.15,-177.10
23-September-2020,3339.50,3343.90,3201.10,3242.85,3270.681986771569935922,135617,15985,443560079.00,24950,18.40,142.80,-96.65
22-September-2020,3300.00,3353.50,3218.55,3304.40,3278.169400050966544104,109876,12162,360192141.00,12748,11.60,134.95,4.40
21-September-2020,3470.00,3470.00,3315.00,3327.95,3380.457498764953443434,159913,22838,540579100.00,47768,29.87,155.00,-142.05
18-September-2020,3494.95,3500.00,3429.20,3475.45,3465.455567651885673431,61543,6163,213274532.00,9492,15.42,70.80,-19.50
17-September-2020,3493.45,3515.80,3457.00,3469.80,3483.355050284215128989,68610,6708,238992990.00,11688,17.04,58.80,-23.65
16-September-2020,3515.35,3565.10,3481.95,3519.75,3534.999618549738612771,159916,15834,565302999.00,41840,26.16,83.15,4.40
15-September-2020,3475.85,3524.30,3455.05,3514.45,3495.872298267251662993,98918,7964,345804696.00,10202,10.31,69.25,38.60
14-September-2020,3558.00,3574.25,3421.50,3440.35,3486.048108831098469456,118128,10504,411799891.00,28900,24.46,152.75,-117.65
11-September-2020,3494.00,3556.00,3456.15,3543.35,3516.203256329383684255,175965,15638,618728706.00,47174,26.81,99.85,49.35
10-September-2020,3448.00,3517.55,3419.00,3499.00,3476.939423103237518358,219242,20103,762291153.00,38249,17.45,98.55,51.00
9-September-2020,3475.00,3492.90,3393.65,3423.80,3428.042733909079297707,203562,21937,697819235.00,38390,18.86,99.25,-51.20
8-September-2020,3515.00,3574.85,3481.10,3500.75,3525.722705834180075524,131878,10927,464965259.00,12976,9.84,93.75,-14.25
7-September-2020,3608.00,3629.00,3478.35,3504.45,3535.791703570762632854,171616,14103,606798429.00,19223,11.20,150.65,-103.55
4-September-2020,3516.50,3649.50,3516.50,3595.95,3597.478004038468120058,146095,12125,525573549.00,16042,10.98,133.00,79.45
3-September-2020,3677.00,3677.00,3605.30,3617.40,3633.662304215284347734,114156,11759,414804354.00,26056,22.82,71.70,-59.60
2-September-2020,3648.65,3680.00,3575.00,3670.30,3629.349318536647115912,94796,9215,344047798.00,10207,10.77,105.00,21.65
1-September-2020,3510.00,3673.80,3499.30,3643.75,3595.267586995097596920,265992,27601,956312416.00,63805,23.99,174.50,133.75
31-August-2020,3711.00,3750.00,3465.80,3489.45,3602.407443991534876932,383692,40037,1382214917.00,82100,21.40,284.20,-221.55
28-August-2020,3655.00,3687.60,3617.25,3672.25,3654.184865413915693245,143737,10825,525241570.00,21364,14.86,70.35,17.25
27-August-2020,3652.05,3684.00,3598.00,3631.75,3629.179429967058397847,132659,10205,481443314.00,18399,13.87,86.00,-20.30
26-August-2020,3661.00,3707.00,3630.50,3644.40,3668.264747916456305777,257494,23619,944556163.00,56321,21.87,76.50,-16.60
25-August-2020,3520.05,3661.00,3515.00,3643.90,3581.769624737449338816,270424,23049,968596469.00,46775,17.30,146.00,123.85
24-August-2020,3393.20,3512.75,3393.20,3490.65,3468.579707148521581511,353080,35831,1224686123.00,155226,43.96,119.55,97.45
21-August-2020,3416.25,3439.70,3380.65,3390.10,3413.639517500021357116,117057,11835,399590401.00,29068,24.83,59.05,-26.15
20-August-2020,3371.05,3413.00,3353.05,3393.95,3386.460437727559343408,98326,8517,332977109.00,15425,15.69,59.95,22.90
19-August-2020,3437.00,3465.50,3402.00,3408.75,3428.365053380782918149,210750,9534,722527935.00,114009,54.10,63.50,-28.25
18-August-2020,3396.25,3436.00,3369.45,3419.45,3404.152467568229102924,130736,10703,445045277.00,14826,11.34,66.55,23.20
17-August-2020,3358.70,3399.80,3313.55,3384.35,3354.894471796602197375,195597,14781,656207294.00,74711,38.20,86.25,25.65
14-August-2020,3429.95,3450.00,3306.00,3330.90,3366.775362878916696294,194073,16521,653400195.00,36288,18.70,144.00,-99.05
13-August-2020,3456.00,3471.65,3405.05,3418.85,3439.123125571155603555,192592,16581,662347601.00,31122,16.16,66.60,-37.15
12-August-2020,3432.00,3448.00,3363.40,3418.60,3413.625403473049735645,172874,13765,590127078.00,16500,9.54,84.60,-13.40
11-August-2020,3466.95,3494.00,3406.00,3456.65,3448.916955547852057278,150004,13079,517351339.00,14034,9.36,88.00,-10.30
10-August-2020,3495.00,3555.00,3414.15,3441.75,3487.026310634848407228,331843,31663,1157145272.00,74855,22.56,140.85,-53.25
7-August-2020,3336.00,3480.00,3306.00,3466.00,3420.812701353228919817,591622,51016,2023828052.00,182620,30.87,174.00,130.00
6-August-2020,3285.00,3378.05,3256.40,3345.30,3326.525335006221911412,486185,41177,1617306720.00,145700,29.97,121.65,60.30
5-August-2020,3240.05,3330.00,3240.05,3262.55,3296.523473883268202939,389731,35344,1284757390.00,115978,29.76,89.95,22.50
4-August-2020,3200.00,3259.25,3146.00,3235.95,3212.389761031847696453,226390,17668,727252918.00,39294,17.36,113.25,35.95
3-August-2020,3236.00,3241.00,3168.30,3173.35,3196.940006263148597215,249076,23934,796281029.00,77527,31.13,72.70,-62.65
31-July-2020,3232.00,3271.80,3180.30,3251.60,3234.528397807408608251,394784,30668,1276940059.00,88132,22.32,91.50,19.60
30-July-2020,3301.95,3324.60,3206.00,3218.40,3271.441198034769463340,264600,20641,865623341.00,90015,34.02,118.60,-83.55
29-July-2020,3245.00,3328.30,3240.00,3283.05,3286.991702898088765921,313724,21202,1031208185.00,62575,19.95,88.30,38.05
28-July-2020,3182.00,3259.35,3163.00,3239.05,3218.174367026496565260,331175,21612,1065778896.00,59354,17.92,96.35,57.05
27-July-2020,3257.00,3290.00,3152.20,3170.55,3185.080096559028691547,307791,22295,980338988.00,74283,24.13,137.80,-86.45
24-July-2020,3249.00,3290.00,3220.00,3251.35,3250.653118303428060935,342526,28271,1113433210.00,91997,26.86,70.00,2.35
23-July-2020,3253.00,3319.85,3220.00,3298.25,3288.860479763504042930,274677,21475,903374330.00,30172,10.98,99.85,45.25
22-July-2020,3316.20,3345.00,3194.15,3252.55,3264.831923837584526449,866149,73119,2827830906.00,129098,14.90,150.85,-63.65
21-July-2020,3498.00,3517.75,3220.00,3292.90,3390.069769929000661915,1037897,74379,3518543244.00,116011,11.18,297.75,-205.10
20-July-2020,3332.00,3452.80,3316.35,3441.35,3387.870416308900805030,651031,54662,2205608665.00,201354,30.93,136.45,109.35
17-July-2020,3217.80,3324.00,3210.50,3301.80,3275.242142646238640464,365772,22047,1197991869.00,109263,29.87,113.50,84.00
16-July-2020,3175.05,3214.00,3102.60,3204.50,3161.392293539186842649,444588,31312,1405517077.00,87969,19.79,111.40,29.45
15-July-2020,3239.00,3296.90,3121.85,3147.90,3236.561198205001542517,528357,33603,1710059765.00,114519,21.67,175.05,-91.10
14-July-2020,3224.00,3225.00,3123.35,3190.35,3161.728554945786429596,405618,29000,1282454013.00,62490,15.41,101.65,-33.65
13-July-2020,3364.00,3380.00,3212.80,3233.25,3281.989472985165542288,436686,32360,1433198855.00,58266,13.34,167.20,-130.75
10-July-2020,3272.10,3395.00,3272.10,3313.10,3334.011594237498550507,586412,45692,1955104407.00,66612,11.36,122.90,41.00
9-July-2020,3232.50,3378.55,3196.15,3329.60,3313.703085514248001028,762142,54032,2525512297.00,74986,9.84,182.40,97.10
8-July-2020,3355.00,3409.00,3181.00,3203.60,3295.393178656812735727,1086267,83188,3579676862.00,148571,13.68,228.00,-151.40
7-July-2020,3140.00,3419.95,3124.80,3352.75,3266.824780631101494254,1421578,96379,4644046238.00,192657,13.55,295.15,212.75
